cve_item,Concepto,publicacion,cve_periodo,Textbox3,Monto,Flujo_Mes,publicacion2,cve_periodo2,Textbox4,cve_item2,Concepto1,item_Importe2,Flujo_Mes1
,    Ingresos por intereses,Banamex,201805,Año en Curso,"40,335.86","9,039.01",ABC Capital,201805,Año en Curso,,            Por Títulos Conservados a Vencimiento,0,0
,    Ingresos por intereses,Banamex,201804,Año en Curso,"31,296.85","8,156.06",ABC Capital,201804,Año en Curso,,            Por Títulos Conservados a Vencimiento,0,0
,    Ingresos por intereses,Banamex Consolidado,201806,Año en Curso,"57,311.25","9,748.96",ABC Capital,201806,Año en Curso,,        Intereses y rendimientos a favor en operaciones de reporto,4.98,0.65
,    Ingresos por intereses,Banamex Consolidado,201805,Año en Curso,"47,562.29","10,515.66",ABC Capital,201805,Año en Curso,,        Intereses y rendimientos a favor en operaciones de reporto,4.33,0.7
,    Ingresos por intereses,Banamex Consolidado,201804,Año en Curso,"37,046.63","9,611.40",ABC Capital,201804,Año en Curso,,        Intereses y rendimientos a favor en operaciones de reporto,3.64,0.88
,    Ingresos por intereses,Banca de Inversión y Otros Servicios,201806,Año en Curso,"16,221.73","2,609.03",ABC Capital,201806,Año en Curso,,        Ingresos provenientes de operaciones de cobertura,0,0
,    Ingresos por intereses,Banca de Inversión y Otros Servicios,201805,Año en Curso,"13,612.71","2,670.91",ABC Capital,201805,Año en Curso,,        Ingresos provenientes de operaciones de cobertura,0,0
,    Ingresos por intereses,Banca de Inversión y Otros Servicios,201804,Año en Curso,"10,941.79","2,777.79",ABC Capital,201804,Año en Curso,,        Ingresos provenientes de operaciones de cobertura,0,0
,    Ingresos por intereses,Banca de Inversión y Otros Servicios Consolidado,201806,Año en Curso,"16,221.73","2,609.03",ABC Capital,201806,Año en Curso,,        Intereses de Cartera de Crédito Vigente,355.26,61.73
,    Ingresos por intereses,Banca de Inversión y Otros Servicios Consolidado,201805,Año en Curso,"13,612.71","2,670.91",ABC Capital,201805,Año en Curso,,        Intereses de Cartera de Crédito Vigente,293.54,62.26
,    Ingresos por intereses,Banca de Inversión y Otros Servicios Consolidado,201804,Año en Curso,"10,941.79","2,777.79",ABC Capital,201804,Año en Curso,,        Intereses de Cartera de Crédito Vigente,231.28,58.48
,    Ingresos por intereses,Banca Mifel,201806,Año en Curso,"3,102.43",532.44,ABC Capital,201806,Año en Curso,,            Créditos Comerciales,354.17,61.57
,    Ingresos por intereses,Banca Mifel,201805,Año en Curso,"2,569.99",550.28,ABC Capital,201805,Año en Curso,,            Créditos Comerciales,292.6,62.09
,    Ingresos por intereses,Banca Mifel,201804,Año en Curso,"2,019.71",542.73,ABC Capital,201804,Año en Curso,,            Créditos Comerciales,230.51,58.29
,    Ingresos por intereses,Banco Ahorro Famsa,201806,Año en Curso,"1,587.99",277.4,ABC Capital,201806,Año en Curso,,                Actividad empresarial o comercial,275.53,46.56
,    Ingresos por intereses,Banco Ahorro Famsa,201805,Año en Curso,"1,310.60",277.09,ABC Capital,201805,Año en Curso,,                Actividad empresarial o comercial,228.97,47.86
,    Ingresos por intereses,Banco Ahorro Famsa,201804,Año en Curso,"1,033.51",263.84,ABC Capital,201804,Año en Curso,,                Actividad empresarial o comercial,181.11,45.94
,    Ingresos por intereses,Banco Azteca,201806,Año en Curso,"22,198.41","3,823.77",Accendo Banco,201806,Año en Curso,,    Ingresos por intereses,155.81,33.68
,    Ingresos por intereses,Banco Azteca,201805,Año en Curso,"18,374.64","3,862.98",Accendo Banco,201805,Año en Curso,,    Ingresos por intereses,122.13,27.09
,    Ingresos por intereses,Banco Azteca,201804,Año en Curso,"14,511.66","3,673.36",Accendo Banco,201804,Año en Curso,,    Ingresos por intereses,95.04,24.94
,    Ingresos por intereses,Banco Base,201806,Año en Curso,"1,142.05",201.34,Accendo Banco,201806,Año en Curso,,        Intereses de disponibilidades,8.06,2.24
,    Ingresos por intereses,Banco Base,201805,Año en Curso,940.71,203.25,Accendo Banco,201805,Año en Curso,,        Intereses de disponibilidades,5.82,1.27
,    Ingresos por intereses,Banco Base,201804,Año en Curso,737.46,193.71,Accendo Banco,201804,Año en Curso,,        Intereses de disponibilidades,4.55,1.19
,    Ingresos por intereses,Banco Bicentenario,201806,Año en Curso,,,Accendo Banco,201806,Año en Curso,,        Intereses y rendimientos a favor provenientes de cuentas de margen,0,0
,    Ingresos por intereses,Banco Bicentenario,201805,Año en Curso,,,Accendo Banco,201805,Año en Curso,,        Intereses y rendimientos a favor provenientes de cuentas de margen,0,0
,    Ingresos por intereses,Banco Bicentenario,201804,Año en Curso,,,Accendo Banco,201804,Año en Curso,,        Intereses y rendimientos a favor provenientes de cuentas de margen,0,0
,    Ingresos por intereses,Banco del Bajío,201806,Año en Curso,"8,784.99","1,532.02",Accendo Banco,201806,Año en Curso,,        Intereses y rendimientos a favor provenientes de inversiones en valores,22.19,5.45
,    Ingresos por intereses,Banco del Bajío,201805,Año en Curso,"7,252.98","1,540.66",Accendo Banco,201805,Año en Curso,,        Intereses y rendimientos a favor provenientes de inversiones en valores,16.74,3.71
,    Ingresos por intereses,Banco del Bajío,201804,Año en Curso,"5,712.31","1,448.89",Accendo Banco,201804,Año en Curso,,        Intereses y rendimientos a favor provenientes de inversiones en valores,13.03,3.72
,    Ingresos por intereses,Banco Deuno,201806,Año en Curso,,,Accendo Banco,201806,Año en Curso,,            Por Títulos para Negociar,19.03,2.29
,    Ingresos por intereses,Banco Deuno,201805,Año en Curso,,,Accendo Banco,201805,Año en Curso,,            Por Títulos para Negociar,16.74,3.71
,    Ingresos por intereses,Banco Deuno,201804,Año en Curso,,,Accendo Banco,201804,Año en Curso,,            Por Títulos para Negociar,13.03,3.72
,    Ingresos por intereses,Banco Wal-Mart,201806,Año en Curso,,,Accendo Banco,201806,Año en Curso,,            Por Títulos Disponibles para la Venta,3.16,3.16
,    Ingresos por intereses,Banco Wal-Mart,201805,Año en Curso,,,Accendo Banco,201805,Año en Curso,,            Por Títulos Disponibles para la Venta,0,0
,    Ingresos por intereses,Banco Wal-Mart,201804,Año en Curso,,,Accendo Banco,201804,Año en Curso,,            Por Títulos Disponibles para la Venta,0,0
,    Ingresos por intereses,BanCoppel,201806,Año en Curso,"5,455.25",927.89,Accendo Banco,201806,Año en Curso,,            Por Títulos Conservados a Vencimiento,0,0
,    Ingresos por intereses,BanCoppel,201805,Año en Curso,"4,527.36",979.99,Accendo Banco,201805,Año en Curso,,            Por Títulos Conservados a Vencimiento,0,0
,    Ingresos por intereses,BanCoppel,201804,Año en Curso,"3,547.37",882.59,Accendo Banco,201804,Año en Curso,,            Por Títulos Conservados a Vencimiento,0,0
,    Ingresos por intereses,Bancos Cambiarios,201806,Año en Curso,"5,357.96",907.1,Accendo Banco,201806,Año en Curso,,        Intereses y rendimientos a favor en operaciones de reporto,7.04,1.44
,    Ingresos por intereses,Bancos Cambiarios,201805,Año en Curso,"4,450.85",969.33,Accendo Banco,201805,Año en Curso,,        Intereses y rendimientos a favor en operaciones de reporto,5.6,1.17
,    Ingresos por intereses,Bancos Cambiarios,201804,Año en Curso,"3,481.52",921.12,Accendo Banco,201804,Año en Curso,,        Intereses y rendimientos a favor en operaciones de reporto,4.43,1.51
,    Ingresos por intereses,Bancos Cambiarios Consolidado,201806,Año en Curso,"5,382.78",920.19,Accendo Banco,201806,Año en Curso,,        Ingresos provenientes de operaciones de cobertura,0,0
,    Ingresos por intereses,Bancos Cambiarios Consolidado,201805,Año en Curso,"4,462.59",971.73,Accendo Banco,201805,Año en Curso,,        Ingresos provenientes de operaciones de cobertura,0,0
,    Ingresos por intereses,Bancos Cambiarios Consolidado,201804,Año en Curso,"3,490.86",923.37,Accendo Banco,201804,Año en Curso,,        Ingresos provenientes de operaciones de cobertura,0,0
,    Ingresos por intereses,Bancrea,201806,Año en Curso,662.09,117.71,Accendo Banco,201806,Año en Curso,,        Intereses de Cartera de Crédito Vigente,112.18,22.51
,    Ingresos por intereses,Bancrea,201805,Año en Curso,544.38,117.81,Accendo Banco,201805,Año en Curso,,        Intereses de Cartera de Crédito Vigente,89.67,19.76
,    Ingresos por intereses,Bancrea,201804,Año en Curso,426.57,109.31,Accendo Banco,201804,Año en Curso,,        Intereses de Cartera de Crédito Vigente,69.92,17.38
,    Ingresos por intereses,Bank of America,201806,Año en Curso,"3,787.27",573.73,Accendo Banco,201806,Año en Curso,,            Créditos Comerciales,112.18,22.51
,    Ingresos por intereses,Bank of America,201805,Año en Curso,"3,213.54",518.88,Accendo Banco,201805,Año en Curso,,            Créditos Comerciales,89.67,19.76
,    Ingresos por intereses,Bank of America,201804,Año en Curso,"2,694.66",715.86,Accendo Banco,201804,Año en Curso,,            Créditos Comerciales,69.92,17.38
,    Ingresos por intereses,Bankaool,201806,Año en Curso,37.13,5.5,Accendo Banco,201806,Año en Curso,,                Actividad empresarial o comercial,109.51,22.07
,    Ingresos por intereses,Bankaool,201805,Año en Curso,31.63,10.89,Accendo Banco,201805,Año en Curso,,                Actividad empresarial o comercial,87.44,19.3
,    Ingresos por intereses,Bankaool,201804,Año en Curso,20.74,7.28,Accendo Banco,201804,Año en Curso,,                Actividad empresarial o comercial,68.14,16.93
,    Ingresos por intereses,Banorte,201806,Año en Curso,"53,283.71","9,055.50",Actinver,201806,Año en Curso,,    Ingresos por intereses,"1,218.13",206.42
,    Ingresos por intereses,Banorte,201805,Año en Curso,"44,228.21","9,073.56",Actinver,201805,Año en Curso,,    Ingresos por intereses,"1,011.71",210.38
,    Ingresos por intereses,Banorte,201804,Año en Curso,"35,154.65","8,820.00",Actinver,201804,Año en Curso,,    Ingresos por intereses,801.33,203.13
,    Ingresos por intereses,Banregio,201806,Año en Curso,"6,384.72","1,138.33",Actinver,201806,Año en Curso,,        Intereses de disponibilidades,17.65,3.49
,    Ingresos por intereses,Banregio,201805,Año en Curso,"5,246.39","1,096.61",Actinver,201805,Año en Curso,,        Intereses de disponibilidades,14.16,4.52
,    Ingresos por intereses,Banregio,201804,Año en Curso,"4,149.78","1,052.75",Actinver,201804,Año en Curso,,        Intereses de disponibilidades,9.63,5.57
,    Ingresos por intereses,Bansí,201806,Año en Curso,"1,235.29",204.95,Actinver,201806,Año en Curso,,        Intereses y rendimientos a favor provenientes de cuentas de margen,0,0
,    Ingresos por intereses,Bansí,201805,Año en Curso,"1,030.34",211.01,Actinver,201805,Año en Curso,,        Intereses y rendimientos a favor provenientes de cuentas de margen,0,0
,    Ingresos por intereses,Bansí,201804,Año en Curso,819.33,206.12,Actinver,201804,Año en Curso,,        Intereses y rendimientos a favor provenientes de cuentas de margen,0,0
,    Ingresos por intereses,Barclays,201806,Año en Curso,378.38,44.24,Actinver,201806,Año en Curso,,        Intereses y rendimientos a favor provenientes de inversiones en valores,398.32,65.13
,    Ingresos por intereses,Barclays,201805,Año en Curso,334.13,74.85,Actinver,201805,Año en Curso,,        Intereses y rendimientos a favor provenientes de inversiones en valores,333.19,67.53
,    Ingresos por intereses,Barclays,201804,Año en Curso,259.28,60.81,Actinver,201804,Año en Curso,,        Intereses y rendimientos a favor provenientes de inversiones en valores,265.66,66.59
,    Ingresos por intereses,BBVA Bancomer,201806,Año en Curso,"91,144.83","15,901.19",Actinver,201806,Año en Curso,,            Por Títulos para Negociar,9.88,3.06
,    Ingresos por intereses,BBVA Bancomer,201805,Año en Curso,"75,243.64","15,660.87",Actinver,201805,Año en Curso,,            Por Títulos para Negociar,6.81,2.13
,    Ingresos por intereses,BBVA Bancomer,201804,Año en Curso,"59,582.77","15,043.49",Actinver,201804,Año en Curso,,            Por Títulos para Negociar,4.68,1.74
,    Ingresos por intereses,BTMU Mexico,201806,Año en Curso,899.29,160.12,Actinver,201806,Año en Curso,,            Por Títulos Disponibles para la Venta,388.45,62.07
,    Ingresos por intereses,BTMU Mexico,201805,Año en Curso,739.16,166.6,Actinver,201805,Año en Curso,,            Por Títulos Disponibles para la Venta,326.38,65.4
,    Ingresos por intereses,BTMU Mexico,201804,Año en Curso,572.57,149.4,Actinver,201804,Año en Curso,,            Por Títulos Disponibles para la Venta,260.98,64.85
,    Ingresos por intereses,CI Banco Consolidado,201806,Año en Curso,"1,350.64",244.9,Actinver,201806,Año en Curso,,            Por Títulos Conservados a Vencimiento,0,0
,    Ingresos por intereses,CI Banco Consolidado,201805,Año en Curso,"1,105.74",241.28,Actinver,201805,Año en Curso,,            Por Títulos Conservados a Vencimiento,0,0
,    Ingresos por intereses,CI Banco Consolidado,201804,Año en Curso,864.45,244.68,Actinver,201804,Año en Curso,,            Por Títulos Conservados a Vencimiento,0,0
,    Ingresos por intereses,CIBanco,201806,Año en Curso,"1,325.81",231.81,Actinver,201806,Año en Curso,,        Intereses y rendimientos a favor en operaciones de reporto,10.42,0.43
,    Ingresos por intereses,CIBanco,201805,Año en Curso,"1,094.00",238.88,Actinver,201805,Año en Curso,,        Intereses y rendimientos a favor en operaciones de reporto,9.99,2.24
,    Ingresos por intereses,CIBanco,201804,Año en Curso,855.12,242.44,Actinver,201804,Año en Curso,,        Intereses y rendimientos a favor en operaciones de reporto,7.75,2.96
,    Ingresos por intereses,Compartamos,201806,Año en Curso,"8,144.12","1,364.36",Actinver,201806,Año en Curso,,        Ingresos provenientes de operaciones de cobertura,0,0
,    Ingresos por intereses,Compartamos,201805,Año en Curso,"6,779.76","1,377.42",Actinver,201805,Año en Curso,,        Ingresos provenientes de operaciones de cobertura,0,0
,    Ingresos por intereses,Compartamos,201804,Año en Curso,"5,402.34","1,335.95",Actinver,201804,Año en Curso,,        Ingresos provenientes de operaciones de cobertura,0,0
,    Ingresos por intereses,Consubanco,201806,Año en Curso,"1,314.29",223.66,Actinver,201806,Año en Curso,,        Intereses de Cartera de Crédito Vigente,763.71,132.55
,    Ingresos por intereses,Consubanco,201805,Año en Curso,"1,090.63",222.44,Actinver,201805,Año en Curso,,        Intereses de Cartera de Crédito Vigente,631.17,131.12
,    Ingresos por intereses,Consubanco,201804,Año en Curso,868.19,219.72,Actinver,201804,Año en Curso,,        Intereses de Cartera de Crédito Vigente,500.05,123.9
,    Ingresos por intereses,Credit Suisse,201806,Año en Curso,469.38,87.34,Actinver,201806,Año en Curso,,            Créditos Comerciales,605.19,104.97
,    Ingresos por intereses,Credit Suisse,201805,Año en Curso,382.05,67.86,Actinver,201805,Año en Curso,,            Créditos Comerciales,500.23,103.62
,    Ingresos por intereses,Credit Suisse,201804,Año en Curso,314.19,73.51,Actinver,201804,Año en Curso,,            Créditos Comerciales,396.6,97.7
,    Ingresos por intereses,Deutsche Bank,201806,Año en Curso,86.05,15.46,Actinver,201806,Año en Curso,,                Actividad empresarial o comercial,562.64,99.11
,    Ingresos por intereses,Deutsche Bank,201805,Año en Curso,70.59,12.43,Actinver,201805,Año en Curso,,                Actividad empresarial o comercial,463.53,96.47
,    Ingresos por intereses,Deutsche Bank,201804,Año en Curso,58.16,12.72,Actinver,201804,Año en Curso,,                Actividad empresarial o comercial,367.06,90.76
,    Ingresos por intereses,Dondé Banco,201806,Año en Curso,55.81,9.91,Afirme,201806,Año en Curso,,    Ingresos por intereses,"6,162.27","1,032.99"
,    Ingresos por intereses,Dondé Banco,201805,Año en Curso,45.9,9.54,Afirme,201805,Año en Curso,,    Ingresos por intereses,"5,129.28","1,040.06"
,    Ingresos por intereses,Dondé Banco,201804,Año en Curso,36.36,9,Afirme,201804,Año en Curso,,    Ingresos por intereses,"4,089.23","1,068.11"
,    Ingresos por intereses,Finterra,201806,Año en Curso,258.8,43.83,Afirme,201806,Año en Curso,,        Intereses de disponibilidades,108.25,29.35
,    Ingresos por intereses,Finterra,201805,Año en Curso,214.97,44.89,Afirme,201805,Año en Curso,,        Intereses de disponibilidades,78.9,25.43
,    Ingresos por intereses,Finterra,201804,Año en Curso,170.08,42.34,Afirme,201804,Año en Curso,,        Intereses de disponibilidades,53.47,16.39
,    Ingresos por intereses,Forjadores,201806,Año en Curso,256.84,42.06,Afirme,201806,Año en Curso,,        Intereses y rendimientos a favor provenientes de cuentas de margen,0,0
,    Ingresos por intereses,Forjadores,201805,Año en Curso,214.78,44.59,Afirme,201805,Año en Curso,,        Intereses y rendimientos a favor provenientes de cuentas de margen,0,0
,    Ingresos por intereses,Forjadores,201804,Año en Curso,170.19,43.3,Afirme,201804,Año en Curso,,        Intereses y rendimientos a favor provenientes de cuentas de margen,0,0
,    Ingresos por intereses,GE Money,201806,Año en Curso,,,Afirme,201806,Año en Curso,,        Intereses y rendimientos a favor provenientes de inversiones en valores,"3,665.53",588.13
,    Ingresos por intereses,GE Money,201805,Año en Curso,,,Afirme,201805,Año en Curso,,        Intereses y rendimientos a favor provenientes de inversiones en valores,"3,077.40",610.55
,    Ingresos por intereses,GE Money,201804,Año en Curso,,,Afirme,201804,Año en Curso,,        Intereses y rendimientos a favor provenientes de inversiones en valores,"2,466.85",660.14
,    Ingresos por intereses,HSBC,201806,Año en Curso,"26,084.99","4,429.21",Afirme,201806,Año en Curso,,            Por Títulos para Negociar,"3,665.53",588.13
,    Ingresos por intereses,HSBC,201805,Año en Curso,"21,655.78","4,499.97",Afirme,201805,Año en Curso,,            Por Títulos para Negociar,"3,077.40",610.55
,    Ingresos por intereses,HSBC,201804,Año en Curso,"17,155.80","4,326.66",Afirme,201804,Año en Curso,,            Por Títulos para Negociar,"2,466.85",660.14
,    Ingresos por intereses,ICBC,201806,Año en Curso,178.49,38.69,Afirme,201806,Año en Curso,,            Por Títulos Disponibles para la Venta,0,0
,    Ingresos por intereses,ICBC,201805,Año en Curso,139.81,30.82,Afirme,201805,Año en Curso,,            Por Títulos Disponibles para la Venta,0,0
,    Ingresos por intereses,ICBC,201804,Año en Curso,108.99,27.53,Afirme,201804,Año en Curso,,            Por Títulos Disponibles para la Venta,0,0
,    Ingresos por intereses,Inbursa,201806,Año en Curso,"13,491.50","2,246.22",Afirme,201806,Año en Curso,,            Por Títulos Conservados a Vencimiento,0,0
,    Ingresos por intereses,Inbursa,201805,Año en Curso,"11,245.28","2,259.91",Afirme,201805,Año en Curso,,            Por Títulos Conservados a Vencimiento,0,0
,    Ingresos por intereses,Inbursa,201804,Año en Curso,"8,985.37","2,309.87",Afirme,201804,Año en Curso,,            Por Títulos Conservados a Vencimiento,0,0
,    Ingresos por intereses,Inbursa Consolidado,201806,Año en Curso,"19,661.23","3,239.78",Afirme,201806,Año en Curso,,        Intereses y rendimientos a favor en operaciones de reporto,153.1,39.23
,    Ingresos por intereses,Inbursa Consolidado,201805,Año en Curso,"16,421.45","3,267.96",Afirme,201805,Año en Curso,,        Intereses y rendimientos a favor en operaciones de reporto,113.87,23.49
,    Ingresos por intereses,Inbursa Consolidado,201804,Año en Curso,"13,153.49","3,300.57",Afirme,201804,Año en Curso,,        Intereses y rendimientos a favor en operaciones de reporto,90.38,26.93
,    Ingresos por intereses,ING,201806,Año en Curso,,,Afirme,201806,Año en Curso,,        Ingresos provenientes de operaciones de cobertura,60.62,0.82
,    Ingresos por intereses,ING,201805,Año en Curso,,,Afirme,201805,Año en Curso,,        Ingresos provenientes de operaciones de cobertura,59.8,0.9
,    Ingresos por intereses,ING,201804,Año en Curso,,,Afirme,201804,Año en Curso,,        Ingresos provenientes de operaciones de cobertura,58.9,2.51
,    Ingresos por intereses,Inmobiliario Mexicano,201806,Año en Curso,353.79,62.13,Afirme,201806,Año en Curso,,        Intereses de Cartera de Crédito Vigente,"2,109.78",362.09
,    Ingresos por intereses,Inmobiliario Mexicano,201805,Año en Curso,291.66,60.84,Afirme,201805,Año en Curso,,        Intereses de Cartera de Crédito Vigente,"1,747.69",369.06
,    Ingresos por intereses,Inmobiliario Mexicano,201804,Año en Curso,230.82,62,Afirme,201804,Año en Curso,,        Intereses de Cartera de Crédito Vigente,"1,378.63",351.23
,    Ingresos por intereses,Interacciones,201806,Año en Curso,"8,969.80","1,429.41",Afirme,201806,Año en Curso,,            Créditos Comerciales,"1,200.59",208.32
,    Ingresos por intereses,Interacciones,201805,Año en Curso,"7,540.40","1,596.70",Afirme,201805,Año en Curso,,            Créditos Comerciales,992.27,211.16
,    Ingresos por intereses,Interacciones,201804,Año en Curso,"5,943.70","1,414.68",Afirme,201804,Año en Curso,,            Créditos Comerciales,781.11,199.63
,    Ingresos por intereses,Intercam Banco,201806,Año en Curso,742.42,114.99,Afirme,201806,Año en Curso,,                Actividad empresarial o comercial,974.69,179.6
,    Ingresos por intereses,Intercam Banco,201805,Año en Curso,627.43,125.3,Afirme,201805,Año en Curso,,                Actividad empresarial o comercial,795.09,172.24
,    Ingresos por intereses,Intercam Banco,201804,Año en Curso,502.13,116.85,Afirme,201804,Año en Curso,,                Actividad empresarial o comercial,622.85,161.4
,    Ingresos por intereses,Invex,201806,Año en Curso,"3,974.11",672.96,American Express,201806,Año en Curso,,    Ingresos por intereses,"1,673.78",296.63
,    Ingresos por intereses,Invex,201805,Año en Curso,"3,301.15",746.54,American Express,201805,Año en Curso,,    Ingresos por intereses,"1,377.14",279.36
,    Ingresos por intereses,Invex,201804,Año en Curso,"2,554.61",604.46,American Express,201804,Año en Curso,,    Ingresos por intereses,"1,097.78",298.55
,    Ingresos por intereses,Ixe,201806,Año en Curso,,,American Express,201806,Año en Curso,,        Intereses de disponibilidades,66.56,10.92
,    Ingresos por intereses,Ixe,201805,Año en Curso,,,American Express,201805,Año en Curso,,        Intereses de disponibilidades,55.65,11.43
,    Ingresos por intereses,Ixe,201804,Año en Curso,,,American Express,201804,Año en Curso,,        Intereses de disponibilidades,44.21,11.03
,    Ingresos por intereses,J.P. Morgan,201806,Año en Curso,"1,236.58",159.15,American Express,201806,Año en Curso,,        Intereses y rendimientos a favor provenientes de cuentas de margen,,
,    Ingresos por intereses,J.P. Morgan,201805,Año en Curso,"1,077.43",189.91,American Express,201805,Año en Curso,,        Intereses y rendimientos a favor provenientes de cuentas de margen,,
,    Ingresos por intereses,J.P. Morgan,201804,Año en Curso,887.52,222.83,American Express,201804,Año en Curso,,        Intereses y rendimientos a favor provenientes de cuentas de margen,,
,    Ingresos por intereses,Mizuho Bank,201806,Año en Curso,132.65,27.56,American Express,201806,Año en Curso,,        Intereses y rendimientos a favor provenientes de inversiones en valores,,
,    Ingresos por intereses,Mizuho Bank,201805,Año en Curso,105.09,26.06,American Express,201805,Año en Curso,,        Intereses y rendimientos a favor provenientes de inversiones en valores,,
,    Ingresos por intereses,Mizuho Bank,201804,Año en Curso,79.03,21.69,American Express,201804,Año en Curso,,        Intereses y rendimientos a favor provenientes de inversiones en valores,,
,    Ingresos por intereses,Monex,201806,Año en Curso,"2,147.67",358.97,American Express,201806,Año en Curso,,            Por Títulos para Negociar,,
,    Ingresos por intereses,Monex,201805,Año en Curso,"1,788.71",401.9,American Express,201805,Año en Curso,,            Por Títulos para Negociar,,
,    Ingresos por intereses,Monex,201804,Año en Curso,"1,386.81",368.13,American Express,201804,Año en Curso,,            Por Títulos para Negociar,,
,    Ingresos por intereses,Multiva,201806,Año en Curso,"4,741.20",834.48,American Express,201806,Año en Curso,,            Por Títulos Disponibles para la Venta,,
,    Ingresos por intereses,Multiva,201805,Año en Curso,"3,906.73",830.77,American Express,201805,Año en Curso,,            Por Títulos Disponibles para la Venta,,
,    Ingresos por intereses,Multiva,201804,Año en Curso,"3,075.96",791.13,American Express,201804,Año en Curso,,            Por Títulos Disponibles para la Venta,,
,    Ingresos por intereses,Pagatodo,201806,Año en Curso,6.7,0.95,American Express,201806,Año en Curso,,            Por Títulos Conservados a Vencimiento,,
,    Ingresos por intereses,Pagatodo,201805,Año en Curso,5.75,1.29,American Express,201805,Año en Curso,,            Por Títulos Conservados a Vencimiento,,
,    Ingresos por intereses,Pagatodo,201804,Año en Curso,4.47,1.17,American Express,201804,Año en Curso,,            Por Títulos Conservados a Vencimiento,,
,    Ingresos por intereses,Sabadell,201806,Año en Curso,"1,060.18",207.06,American Express,201806,Año en Curso,,        Intereses y rendimientos a favor en operaciones de reporto,51.08,8.65
,    Ingresos por intereses,Sabadell,201805,Año en Curso,853.11,194.49,American Express,201805,Año en Curso,,        Intereses y rendimientos a favor en operaciones de reporto,42.44,9.12
,    Ingresos por intereses,Sabadell,201804,Año en Curso,658.62,194.9,American Express,201804,Año en Curso,,        Intereses y rendimientos a favor en operaciones de reporto,33.31,10.88
,    Ingresos por intereses,Santander,201806,Año en Curso,"44,995.42","7,624.89",American Express,201806,Año en Curso,,        Ingresos provenientes de operaciones de cobertura,,
,    Ingresos por intereses,Santander,201805,Año en Curso,"37,370.53","7,850.94",American Express,201805,Año en Curso,,        Ingresos provenientes de operaciones de cobertura,,
